SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,WeekID,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
(everybody Wanna Get Rich) Rite AwayDr. John,Dr. John,(everybody Wanna Get Rich) Rite Away,"'blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul'",2a0fkN8dbA5Kh8SR7cvl3D,https://p.scdn.co/mp3-preview/94ed76522a63c1b269bdf30b94f05d993e833aaf?cid=b8d3901151d34489a160e3cf0ab1fa94,163933.0,0.0,Destively Bonnaroo,0.746,0.916,9.0,-10.061,1.0,0.0772,0.518,0.0686,0.0785,0.971,99.926,4.0,54.0,http://www.billboard.com/charts/hot-100/1974-05-18,1974Q2,95.0,1.0,96.0,95.0,2.0,5695.859,1.0,0
(everybody Wanna Get Rich) Rite AwayDr. John,Dr. John,(everybody Wanna Get Rich) Rite Away,"'blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul'",2a0fkN8dbA5Kh8SR7cvl3D,https://p.scdn.co/mp3-preview/94ed76522a63c1b269bdf30b94f05d993e833aaf?cid=b8d3901151d34489a160e3cf0ab1fa94,163933.0,0.0,Destively Bonnaroo,0.746,0.916,9.0,-10.061,1.0,0.0772,0.518,0.0686,0.0785,0.971,99.926,4.0,54.0,http://www.billboard.com/charts/hot-100/1974-05-25,1974Q2,92.0,1.0,95.0,92.0,3.0,5695.859,3.0,0
(everybody Wanna Get Rich) Rite AwayDr. John,Dr. John,(everybody Wanna Get Rich) Rite Away,"'blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul'",2a0fkN8dbA5Kh8SR7cvl3D,https://p.scdn.co/mp3-preview/94ed76522a63c1b269bdf30b94f05d993e833aaf?cid=b8d3901151d34489a160e3cf0ab1fa94,163933.0,0.0,Destively Bonnaroo,0.746,0.916,9.0,-10.061,1.0,0.0772,0.518,0.0686,0.0785,0.971,99.926,4.0,54.0,http://www.billboard.com/charts/hot-100/1974-06-01,1974Q2,96.0,1.0,92.0,92.0,4.0,5695.859,-4.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-05-11,1974Q2,9.0,1.0,12.0,9.0,9.0,5695.859,3.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-03-23,1974Q1,66.0,1.0,80.0,66.0,2.0,5682.353,14.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-03-30,1974Q1,49.0,1.0,66.0,49.0,3.0,5682.353,17.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-04-20,1974Q2,20.0,1.0,31.0,20.0,6.0,5695.859,11.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-05-18,1974Q2,9.0,1.0,9.0,9.0,10.0,5695.859,0.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-05-25,1974Q2,9.0,1.0,9.0,9.0,11.0,5695.859,0.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-04-13,1974Q2,31.0,1.0,39.0,31.0,5.0,5695.859,8.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-04-06,1974Q2,39.0,1.0,49.0,39.0,4.0,5695.859,10.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-04-27,1974Q2,16.0,1.0,20.0,16.0,7.0,5695.859,4.0,0
(i've Been) Searchin' So LongChicago,Chicago,(i've Been) Searchin' So Long,"'adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",3z9pBucv2HHp1gYaTcQwiI,https://p.scdn.co/mp3-preview/4380998b256a31e82ce8ac356476655a14fa1151?cid=b8d3901151d34489a160e3cf0ab1fa94,268426.0,0.0,Chicago VII (Expanded & Remastered),0.194,0.591,0.0,-6.181,1.0,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,41.0,http://www.billboard.com/charts/hot-100/1974-05-04,1974Q2,12.0,1.0,16.0,12.0,8.0,5695.859,4.0,0
