index,SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession,SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
10,(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-22,82.0,1.0,57.0,35.0,12.0,9347.597,-25.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-02-06,1.0,1.0,1.0,1.0,12.0,12410.778,0.0,0
11,3 A.M. EternalThe KLF,The KLF,3 A.M. Eternal,'acid house',413adkV8KrZQUPvU0iD9Dj,https://p.scdn.co/mp3-preview/4767afe9a14412ddff068bb34ab34384bfbc5a92?cid=b8d3901151d34489a160e3cf0ab1fa94,347218.0,0.0,The Works,0.616,0.894,9.0,-12.781,0.0,0.0555,0.000764,0.155,0.924,0.756,117.362,4.0,27.0,http://www.billboard.com/charts/hot-100/1991-06-29,71.0,1.0,94.0,71.0,2.0,9347.597,23.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-02-13,2.0,1.0,1.0,1.0,13.0,12410.778,-1.0,0
12,Across The RiverBruce Hornsby & The Range,Bruce Hornsby & The Range,Across The River,"'album rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'soft rock'",72vw18TcgD8jmJvBr9qaVZ,https://p.scdn.co/mp3-preview/9181f2782258fd63ee5499f04d9126e38ca93ac0?cid=b8d3901151d34489a160e3cf0ab1fa94,309720.0,0.0,Night On The Town,0.529,0.816,7.0,-7.075,1.0,0.0385,0.276,0.0602,0.192,0.825,149.769,4.0,24.0,http://www.billboard.com/charts/hot-100/1990-10-06,97.0,1.0,91.0,18.0,16.0,9318.876,-6.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-02-20,2.0,1.0,2.0,1.0,14.0,12410.778,0.0,0
13,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-10-06,32.0,1.0,35.0,32.0,8.0,9318.876,3.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-02-27,4.0,1.0,2.0,1.0,15.0,12410.778,-2.0,0
14,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-10-13,35.0,1.0,32.0,32.0,9.0,9318.876,-3.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-03-06,5.0,1.0,4.0,1.0,16.0,12410.778,-1.0,0
15,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-10-20,61.0,1.0,35.0,32.0,10.0,9318.876,-26.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-03-13,8.0,1.0,5.0,1.0,17.0,12410.778,-3.0,0
16,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-10-27,74.0,1.0,61.0,32.0,11.0,9318.876,-13.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-04-03,14.0,1.0,13.0,1.0,20.0,12514.408,-1.0,0
17,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-11-03,87.0,1.0,74.0,32.0,12.0,9318.876,-13.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-04-10,17.0,1.0,14.0,1.0,21.0,12514.408,-3.0,0
18,"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.","Glenn Medeiros Featuring Ray Parker, Jr.",All I'm Missing Is You,'soft rock',161VLuQ9BzasINJUoX0sNZ,https://p.scdn.co/mp3-preview/ce3fe819633abe8dec535cd5da69c39ed395df1a?cid=b8d3901151d34489a160e3cf0ab1fa94,259733.0,0.0,Glenn Medeiros,0.742,0.745,5.0,-9.132,0.0,0.0296,0.12,0.0,0.0998,0.844,102.996,4.0,12.0,http://www.billboard.com/charts/hot-100/1990-11-10,97.0,1.0,87.0,32.0,13.0,9318.876,-10.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-04-17,19.0,1.0,17.0,1.0,22.0,12514.408,-2.0,0
19,All The Man That I NeedWhitney Houston,Whitney Houston,All The Man That I Need,"'dance pop', 'pop', 'r&b'",07M76e7IXxYdnC1BBiJxEX,https://p.scdn.co/mp3-preview/9a1668c2c1de198059b7d78d3266f05b3d7fafa9?cid=b8d3901151d34489a160e3cf0ab1fa94,251426.0,0.0,I'm Your Baby Tonight,0.485,0.577,5.0,-9.98,0.0,0.0323,0.462,0.0,0.0486,0.286,150.888,4.0,55.0,http://www.billboard.com/charts/hot-100/1990-12-29,53.0,1.0,53.0,53.0,2.0,9318.876,0.0,0,...Baby One More TimeBritney Spears,Britney Spears,...Baby One More Time,"'dance pop', 'pop', 'post-teen pop'",3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=b8d3901151d34489a160e3cf0ab1fa94,211066.0,0.0,...Baby One More Time (Digital Deluxe Version),0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,77.0,http://www.billboard.com/charts/hot-100/1999-04-24,20.0,1.0,19.0,1.0,23.0,12514.408,-1.0,0
