SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,WeekID,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
99Toto,Toto,99,"'album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",2R3E4xKmy7lyieBKONkIMT,https://p.scdn.co/mp3-preview/b1f8907c521b58749788f8d07674d4b793e23a92?cid=b8d3901151d34489a160e3cf0ab1fa94,316053.0,0.0,Hydra,0.482,0.471,10.0,-13.873,0.0,0.0334,0.181,0.00167,0.112,0.342,88.557,4.0,49.0,http://www.billboard.com/charts/hot-100/1980-04-05,1980Q2,49.0,1.0,35.0,26.0,16.0,6701.046,-14.0,0
99Toto,Toto,99,"'album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'",2R3E4xKmy7lyieBKONkIMT,https://p.scdn.co/mp3-preview/b1f8907c521b58749788f8d07674d4b793e23a92?cid=b8d3901151d34489a160e3cf0ab1fa94,316053.0,0.0,Hydra,0.482,0.471,10.0,-13.873,0.0,0.0334,0.181,0.00167,0.112,0.342,88.557,4.0,49.0,http://www.billboard.com/charts/hot-100/1980-04-12,1980Q2,91.0,1.0,49.0,26.0,17.0,6701.046,-42.0,0
A Certain GirlWarren Zevon,Warren Zevon,A Certain Girl,"'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk'",24tc3OZ7YRdtQofd23niCE,https://p.scdn.co/mp3-preview/74e00504edbff90b481740263fbacbcff8e5ea9e?cid=b8d3901151d34489a160e3cf0ab1fa94,188200.0,0.0,Bad Luck Streak In Dancing School,0.694,0.726,11.0,-12.987,1.0,0.0427,0.322,0.0,0.293,0.968,121.977,4.0,30.0,http://www.billboard.com/charts/hot-100/1980-04-05,1980Q2,59.0,1.0,61.0,59.0,5.0,6701.046,2.0,0
A Certain GirlWarren Zevon,Warren Zevon,A Certain Girl,"'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk'",24tc3OZ7YRdtQofd23niCE,https://p.scdn.co/mp3-preview/74e00504edbff90b481740263fbacbcff8e5ea9e?cid=b8d3901151d34489a160e3cf0ab1fa94,188200.0,0.0,Bad Luck Streak In Dancing School,0.694,0.726,11.0,-12.987,1.0,0.0427,0.322,0.0,0.293,0.968,121.977,4.0,30.0,http://www.billboard.com/charts/hot-100/1980-04-12,1980Q2,57.0,1.0,59.0,57.0,6.0,6701.046,2.0,0
A Certain GirlWarren Zevon,Warren Zevon,A Certain Girl,"'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk'",24tc3OZ7YRdtQofd23niCE,https://p.scdn.co/mp3-preview/74e00504edbff90b481740263fbacbcff8e5ea9e?cid=b8d3901151d34489a160e3cf0ab1fa94,188200.0,0.0,Bad Luck Streak In Dancing School,0.694,0.726,11.0,-12.987,1.0,0.0427,0.322,0.0,0.293,0.968,121.977,4.0,30.0,http://www.billboard.com/charts/hot-100/1980-04-19,1980Q2,96.0,1.0,57.0,57.0,7.0,6701.046,-39.0,0
A Lover's HolidayChange,Change,A Lover's Holiday,"'disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm'",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,0.0,Magical Night (Greatest Hits Special Price),0.921,0.607,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0837,0.799,116.335,4.0,38.0,http://www.billboard.com/charts/hot-100/1980-07-05,1980Q3,43.0,1.0,43.0,43.0,8.0,6693.082,0.0,1
A Lover's HolidayChange,Change,A Lover's Holiday,"'disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm'",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,0.0,Magical Night (Greatest Hits Special Price),0.921,0.607,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0837,0.799,116.335,4.0,38.0,http://www.billboard.com/charts/hot-100/1980-05-24,1980Q2,80.0,1.0,90.0,80.0,2.0,6701.046,10.0,0
A Lover's HolidayChange,Change,A Lover's Holiday,"'disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm'",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,0.0,Magical Night (Greatest Hits Special Price),0.921,0.607,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0837,0.799,116.335,4.0,38.0,http://www.billboard.com/charts/hot-100/1980-07-12,1980Q3,41.0,1.0,43.0,41.0,9.0,6693.082,2.0,1
A Lover's HolidayChange,Change,A Lover's Holiday,"'disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm'",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,0.0,Magical Night (Greatest Hits Special Price),0.921,0.607,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0837,0.799,116.335,4.0,38.0,http://www.billboard.com/charts/hot-100/1980-05-31,1980Q2,70.0,1.0,80.0,70.0,3.0,6701.046,10.0,0
A Lover's HolidayChange,Change,A Lover's Holiday,"'disco', 'funk', 'jazz funk', 'minneapolis sound', 'post-disco', 'quiet storm'",7AzZ2sNganpJKdsumfvu81,https://p.scdn.co/mp3-preview/5ef9d6cbcdc4c6d5c3fd0eb390b14496ddb87e33?cid=b8d3901151d34489a160e3cf0ab1fa94,384813.0,0.0,Magical Night (Greatest Hits Special Price),0.921,0.607,11.0,-6.047,0.0,0.216,0.0287,0.0297,0.0837,0.799,116.335,4.0,38.0,http://www.billboard.com/charts/hot-100/1980-07-19,1980Q3,40.0,1.0,41.0,40.0,10.0,6693.082,1.0,1
