SongID,Artist,Title,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,url,WeekID,Week Position,Instance,Previous Week Position,Peak Position,Weeks on Chart,GDP,rank_gain/loss,recession
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-25,1991Q2,41.0,1.0,43.0,41.0,8.0,9347.597,2.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-20,1991Q2,62.0,1.0,70.0,62.0,3.0,9347.597,8.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-01,1991Q2,35.0,1.0,41.0,35.0,9.0,9347.597,6.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-13,1991Q2,70.0,1.0,84.0,70.0,2.0,9347.597,14.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-08,1991Q2,41.0,1.0,35.0,35.0,10.0,9347.597,-6.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-15,1991Q2,57.0,1.0,41.0,35.0,11.0,9347.597,-16.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-04,1991Q2,50.0,1.0,52.0,50.0,5.0,9347.597,2.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-04-27,1991Q2,52.0,1.0,62.0,52.0,4.0,9347.597,10.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-18,1991Q2,43.0,1.0,48.0,43.0,7.0,9347.597,5.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-05-11,1991Q2,48.0,1.0,50.0,48.0,6.0,9347.597,2.0,0
(If There Was) Any Other WayCeline Dion,Celine Dion,(If There Was) Any Other Way,"'canadian pop', 'dance pop'",5yh5RqpOXYN3iiJe07mNNf,https://p.scdn.co/mp3-preview/e83a3577c394cf3cdf6454ce84928b465a6d902d?cid=b8d3901151d34489a160e3cf0ab1fa94,240093.0,0.0,Unison,0.671,0.784,7.0,-8.672,0.0,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,28.0,http://www.billboard.com/charts/hot-100/1991-06-22,1991Q2,82.0,1.0,57.0,35.0,12.0,9347.597,-25.0,0
3 A.M. EternalThe KLF,The KLF,3 A.M. Eternal,'acid house',413adkV8KrZQUPvU0iD9Dj,https://p.scdn.co/mp3-preview/4767afe9a14412ddff068bb34ab34384bfbc5a92?cid=b8d3901151d34489a160e3cf0ab1fa94,347218.0,0.0,The Works,0.616,0.894,9.0,-12.781,0.0,0.0555,0.000764,0.155,0.924,0.756,117.362,4.0,27.0,http://www.billboard.com/charts/hot-100/1991-06-29,1991Q2,71.0,1.0,94.0,71.0,2.0,9347.597,23.0,0
