date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1990Q4,Maxi Priest,2.0,0,1.0,1,Close To You,15.0,9318.876,1.0,0
1990Q4,George Michael,5.0,0,2.0,2,Praying For Time,6.0,9318.876,3.0,0
1990Q4,Nelson,1.0,0,1.0,3,(Can't Live Without Your) Love And Affection,14.0,9318.876,-2.0,0
1990Q4,Phil Collins,6.0,0,4.0,4,Something Happened On The Way To Heaven,10.0,9318.876,2.0,0
1990Q4,James Ingram,11.0,0,5.0,5,I Don't Have The Heart,10.0,9318.876,6.0,0
1990Q4,Jon Bon Jovi,4.0,0,1.0,6,"Blaze Of Glory (From ""Young Guns II"")",12.0,9318.876,-2.0,0
1990Q4,Vanilla Ice,16.0,0,7.0,7,Ice Ice Baby,5.0,9318.876,9.0,0
1990Q4,Paul Young,9.0,0,8.0,8,Oh Girl,13.0,9318.876,1.0,0
1990Q4,Bell Biv DeVoe,7.0,0,3.0,9,Do Me!,15.0,9318.876,-2.0,0
1990Q4,Wilson Phillips,3.0,0,1.0,10,Release Me,15.0,9318.876,-7.0,0
1990Q4,Dino,13.0,0,11.0,11,Romeo,9.0,9318.876,2.0,0
1990Q4,Johnny Gill,10.0,0,10.0,12,"My, My, My",10.0,9318.876,-2.0,0
1990Q4,Janet Jackson,24.0,0,13.0,13,Black Cat,4.0,9318.876,11.0,0
1990Q4,Taylor Dayne,12.0,0,12.0,14,Heart Of Stone,10.0,9318.876,-2.0,0
1990Q4,Black Box,15.0,0,15.0,15,Everybody Everybody,10.0,9318.876,0.0,0
1990Q4,After 7,14.0,0,14.0,16,Can't Stop,11.0,9318.876,-2.0,0
1990Q4,Pebbles,22.0,0,17.0,17,Giving You The Benefit,8.0,9318.876,5.0,0
1990Q4,INXS,23.0,0,18.0,18,Suicide Blonde,5.0,9318.876,5.0,0
1990Q4,The Righteous Brothers,19.0,0,4.0,19,Unchained Melody,7.0,9318.876,0.0,0
1990Q4,Depeche Mode,20.0,0,20.0,20,Policy Of Truth,9.0,9318.876,0.0,0
1990Q4,Lisa Stansfield,26.0,0,21.0,21,This Is The Right Time,8.0,9318.876,5.0,0
1990Q4,Prince,8.0,0,6.0,22,Thieves In The Temple,10.0,9318.876,-14.0,0
1990Q4,Slaughter,28.0,0,23.0,23,Fly To the Angels,8.0,9318.876,5.0,0
1990Q4,Mariah Carey,36.0,0,24.0,24,Love Takes Time,4.0,9318.876,12.0,0
1990Q4,Breathe,30.0,0,25.0,25,Say A Prayer,7.0,9318.876,5.0,0
1990Q4,Tony Toni Tone,32.0,0,26.0,26,Feels Good,6.0,9318.876,6.0,0
1990Q4,Warrant,39.0,0,27.0,27,Cherry Pie,5.0,9318.876,12.0,0
1990Q4,Poison,17.0,0,3.0,28,Unskinny Bop,14.0,9318.876,-11.0,0
1990Q4,M.C. Hammer,18.0,0,4.0,29,Have You Seen Her,15.0,9318.876,-11.0,0
1990Q4,The Boys,33.0,0,30.0,30,Crazy,7.0,9318.876,3.0,0
1990Q4,Alias,40.0,0,31.0,31,More Than Words Can Say,5.0,9318.876,9.0,0
1990Q4,"Glenn Medeiros Featuring Ray Parker, Jr.",35.0,0,32.0,32,All I'm Missing Is You,8.0,9318.876,3.0,0
1990Q4,The Adventures Of Stevie V,25.0,0,25.0,33,Dirty Cash (Money Talks),12.0,9318.876,-8.0,0
1990Q4,Kyper,29.0,0,14.0,34,Tic-Tac-Toe,15.0,9318.876,-5.0,0
1990Q4,Jude Cole,38.0,0,35.0,35,Time For Letting Go,10.0,9318.876,3.0,0
1990Q4,Michael Bolton,41.0,0,36.0,36,Georgia On My Mind,7.0,9318.876,5.0,0
1990Q4,M.C. Hammer,44.0,0,37.0,37,Pray,2.0,9318.876,7.0,0
1990Q4,Mariah Carey,31.0,0,1.0,38,Vision Of Love,19.0,9318.876,-7.0,0
1990Q4,Concrete Blonde,46.0,0,39.0,39,Joey,8.0,9318.876,7.0,0
1990Q4,Faith No More,34.0,0,9.0,40,Epic,16.0,9318.876,-6.0,0
1990Q4,Candyman,48.0,0,41.0,41,Knockin' Boots,6.0,9318.876,7.0,0
1990Q4,Sweet Sensation,27.0,0,1.0,42,If Wishes Came True,17.0,9318.876,-15.0,0
1990Q4,En Vogue,45.0,0,43.0,43,Lies,7.0,9318.876,2.0,0
1990Q4,Cheap Trick,21.0,0,12.0,44,Can't Stop Falling Into Love,12.0,9318.876,-23.0,0
1990Q4,The Righteous Brothers,0.0,1,45.0,45,Unchained Melody,1.0,9318.876,-45.0,0
1990Q4,Sydney Youngblood,50.0,0,46.0,46,I'd Rather Go Blind,7.0,9318.876,4.0,0
1990Q4,Heart,61.0,0,47.0,47,Stranded,3.0,9318.876,14.0,0
1990Q4,Snap!,57.0,0,48.0,48,Ooops Up,5.0,9318.876,9.0,0
1990Q4,Daryl Hall John Oates,69.0,0,49.0,49,So Close,2.0,9318.876,20.0,0
1990Q4,George Michael,2.0,0,1.0,1,Praying For Time,7.0,9318.876,1.0,0
1990Q4,Maxi Priest,1.0,0,1.0,2,Close To You,16.0,9318.876,-1.0,0
1990Q4,James Ingram,5.0,0,3.0,3,I Don't Have The Heart,11.0,9318.876,2.0,0
1990Q4,Vanilla Ice,7.0,0,4.0,4,Ice Ice Baby,6.0,9318.876,3.0,0
1990Q4,Janet Jackson,13.0,0,5.0,5,Black Cat,5.0,9318.876,8.0,0
1990Q4,Nelson,3.0,0,1.0,6,(Can't Live Without Your) Love And Affection,15.0,9318.876,-3.0,0
1990Q4,Dino,11.0,0,7.0,7,Romeo,10.0,9318.876,4.0,0
1990Q4,Phil Collins,4.0,0,4.0,8,Something Happened On The Way To Heaven,11.0,9318.876,-4.0,0
1990Q4,Black Box,15.0,0,9.0,9,Everybody Everybody,11.0,9318.876,6.0,0
1990Q4,Paul Young,8.0,0,8.0,10,Oh Girl,14.0,9318.876,-2.0,0
1990Q4,After 7,16.0,0,11.0,11,Can't Stop,12.0,9318.876,5.0,0
1990Q4,Pebbles,17.0,0,12.0,12,Giving You The Benefit,9.0,9318.876,5.0,0
1990Q4,INXS,18.0,0,13.0,13,Suicide Blonde,6.0,9318.876,5.0,0
1990Q4,Johnny Gill,12.0,0,10.0,14,"My, My, My",11.0,9318.876,-2.0,0
1990Q4,The Righteous Brothers,19.0,0,4.0,15,Unchained Melody,8.0,9318.876,4.0,0
