date,track_artist,track_lp,track_new,track_pp,track_rank,track_title,track_weeks,GDP,rank_gain/loss,recession
1960Q3,Connie Francis,1.0,0,1.0,1,Everybody's Somebody's Fool,9.0,3276.133,0.0,0
1960Q3,Hollywood Argyles,3.0,0,2.0,2,Alley-Oop,6.0,3276.133,1.0,0
1960Q3,Brenda Lee,6.0,0,3.0,3,I'm Sorry,6.0,3276.133,3.0,0
1960Q3,Duane Eddy And The Rebels,5.0,0,4.0,4,Because They're Young,7.0,3276.133,1.0,0
1960Q3,The Everly Brothers,2.0,0,1.0,5,Cathy's Clown,12.0,3276.133,-3.0,0
1960Q3,Brenda Lee,17.0,0,6.0,6,That's All You Gotta Do,5.0,3276.133,11.0,0
1960Q3,Jack Scott,4.0,0,3.0,7,Burning Bridges,12.0,3276.133,-3.0,0
1960Q3,Paul Anka,11.0,0,8.0,8,My Home Town,7.0,3276.133,3.0,0
1960Q3,The Fendermen,15.0,0,9.0,9,Mule Skinner Blues,7.0,3276.133,6.0,0
1960Q3,Dinah Washington & Brook Benton,7.0,0,7.0,10,A Rockin' Good Way (To Mess Around And Fall In Love),7.0,3276.133,-3.0,0
1960Q3,Roy Orbison,23.0,0,11.0,11,Only The Lonely (Know How I Feel),5.0,3276.133,12.0,0
1960Q3,Sam Cooke,12.0,0,12.0,12,Wonderful World,9.0,3276.133,0.0,0
1960Q3,Anita Bryant,8.0,0,5.0,13,Paper Roses,13.0,3276.133,-5.0,0
1960Q3,Paul Evans,14.0,0,10.0,14,Happy-Go-Lucky-Me,10.0,3276.133,0.0,0
1960Q3,Dante and the Evergreens,16.0,0,15.0,15,Alley-Oop,6.0,3276.133,1.0,0
1960Q3,Hank Locklin,24.0,0,16.0,16,"Please Help Me, I'm Falling",7.0,3276.133,8.0,0
1960Q3,Jimmy Jones,9.0,0,3.0,17,Good Timin',12.0,3276.133,-8.0,0
1960Q3,Tommy Edwards,25.0,0,18.0,18,I Really Don't Want To Know,7.0,3276.133,7.0,0
1960Q3,Bobby Darin,21.0,0,19.0,19,Won't You Come Home Bill Bailey,7.0,3276.133,2.0,0
1960Q3,The Everly Brothers,36.0,0,20.0,20,When Will I Be Loved,6.0,3276.133,16.0,0
1960Q3,Bobby Rydell,10.0,0,5.0,21,Swingin' School,9.0,3276.133,-11.0,0
1960Q3,Ray Peterson,40.0,0,22.0,22,Tell Laura I Love Her,4.0,3276.133,18.0,0
1960Q3,Connie Francis,20.0,0,19.0,23,Jealous Of You (Tango Della Gelosia),7.0,3276.133,-3.0,0
1960Q3,Ron Holden with The Thunderbirds,13.0,0,7.0,24,Love You So,14.0,3276.133,-11.0,0
1960Q3,The Fleetwoods,29.0,0,25.0,25,Runaround,7.0,3276.133,4.0,0
1960Q3,Ricky Nelson,18.0,0,12.0,26,Young Emotions,11.0,3276.133,-8.0,0
1960Q3,Don Costa And His Orchestra And Chorus,37.0,0,27.0,27,"Theme From ""The Unforgiven"" (The Need For Love)",10.0,3276.133,10.0,0
1960Q3,Ella Fitzgerald,27.0,0,27.0,28,Mack The Knife,10.0,3276.133,-1.0,0
1960Q3,The Skyliners,32.0,0,29.0,29,Pennies From Heaven,9.0,3276.133,3.0,0
1960Q3,Jeanne Black,19.0,0,4.0,30,He'll Have To Stay,10.0,3276.133,-11.0,0
1960Q3,Fats Domino,46.0,0,31.0,31,Walking To New Orleans,3.0,3276.133,15.0,0
1960Q3,Bobby Rydell,26.0,0,18.0,32,Ding-A-Ling,9.0,3276.133,-6.0,0
1960Q3,Bill Black's Combo,71.0,0,33.0,33,Josephine,2.0,3276.133,38.0,0
1960Q3,Patti Page,42.0,0,34.0,34,One Of Us (Will Weep Tonight),5.0,3276.133,8.0,0
1960Q3,Garry Miles,66.0,0,35.0,35,Look For A Star,3.0,3276.133,31.0,0
1960Q3,Jimmy Clanton,28.0,0,22.0,36,Another Sleepless Night,11.0,3276.133,-8.0,0
1960Q3,Deane Hawley,68.0,0,37.0,37,Look For A Star,3.0,3276.133,31.0,0
1960Q3,Annette With The Afterbeats,43.0,0,37.0,38,Train Of Love,5.0,3276.133,5.0,0
1960Q3,Elvis Presley With The Jordanaires,22.0,0,1.0,39,Stuck On You,14.0,3276.133,-17.0,0
1960Q3,Connie Stevens,31.0,0,3.0,40,Sixteen Reasons,23.0,3276.133,-9.0,0
1960Q3,Paul Anka,41.0,0,41.0,41,Something Happened,6.0,3276.133,0.0,0
1960Q3,Jim Reeves,48.0,0,42.0,42,I'm Gettin' Better,3.0,3276.133,6.0,0
1960Q3,Safaris with The Phantom's Band,53.0,0,43.0,43,Image Of A Girl,5.0,3276.133,10.0,0
1960Q3,Jackie Wilson,30.0,0,4.0,44,Night,16.0,3276.133,-14.0,0
1960Q3,The Brothers Four,38.0,0,2.0,45,Greenfields,20.0,3276.133,-7.0,0
1960Q3,Bobby Marchan,80.0,0,46.0,46,There's Something On Your Mind (Part 2),4.0,3276.133,34.0,0
1960Q3,Charlie Rich,34.0,0,22.0,47,Lonely Weekends,17.0,3276.133,-13.0,0
1960Q3,Johnny And The Hurricanes,49.0,0,48.0,48,Down Yonder,6.0,3276.133,1.0,0
1960Q3,The Beau-Marks,51.0,0,49.0,49,Clap Your Hands,8.0,3276.133,2.0,0
1960Q3,Hollywood Argyles,2.0,0,1.0,1,Alley-Oop,7.0,3276.133,1.0,0
1960Q3,Brenda Lee,3.0,0,2.0,2,I'm Sorry,7.0,3276.133,1.0,0
1960Q3,Connie Francis,1.0,0,1.0,3,Everybody's Somebody's Fool,10.0,3276.133,-2.0,0
1960Q3,Duane Eddy And The Rebels,4.0,0,4.0,4,Because They're Young,8.0,3276.133,0.0,0
1960Q3,The Fendermen,9.0,0,5.0,5,Mule Skinner Blues,8.0,3276.133,4.0,0
1960Q3,Roy Orbison,11.0,0,6.0,6,Only The Lonely (Know How I Feel),6.0,3276.133,5.0,0
1960Q3,Brenda Lee,6.0,0,6.0,7,That's All You Gotta Do,6.0,3276.133,-1.0,0
1960Q3,Paul Anka,8.0,0,8.0,8,My Home Town,8.0,3276.133,0.0,0
1960Q3,Dinah Washington & Brook Benton,10.0,0,7.0,9,A Rockin' Good Way (To Mess Around And Fall In Love),8.0,3276.133,1.0,0
1960Q3,The Everly Brothers,20.0,0,10.0,10,When Will I Be Loved,7.0,3276.133,10.0,0
1960Q3,Jack Scott,7.0,0,3.0,11,Burning Bridges,13.0,3276.133,-4.0,0
1960Q3,Ray Peterson,22.0,0,12.0,12,Tell Laura I Love Her,5.0,3276.133,10.0,0
1960Q3,The Everly Brothers,5.0,0,1.0,13,Cathy's Clown,13.0,3276.133,-8.0,0
1960Q3,Hank Locklin,16.0,0,14.0,14,"Please Help Me, I'm Falling",8.0,3276.133,2.0,0
1960Q3,Dante and the Evergreens,15.0,0,15.0,15,Alley-Oop,7.0,3276.133,0.0,0
1960Q3,Anita Bryant,13.0,0,5.0,16,Paper Roses,14.0,3276.133,-3.0,0
1960Q3,Safaris with The Phantom's Band,43.0,0,17.0,17,Image Of A Girl,6.0,3276.133,26.0,0
1960Q3,Sam Cooke,12.0,0,12.0,18,Wonderful World,10.0,3276.133,-6.0,0
1960Q3,Paul Evans,14.0,0,10.0,19,Happy-Go-Lucky-Me,11.0,3276.133,-5.0,0
1960Q3,Brian Hyland,59.0,0,20.0,20,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,2.0,3276.133,39.0,0
1960Q3,Fats Domino,31.0,0,21.0,21,Walking To New Orleans,4.0,3276.133,10.0,0
1960Q3,Ron Holden with The Thunderbirds,24.0,0,7.0,22,Love You So,15.0,3276.133,2.0,0
1960Q3,The Fleetwoods,25.0,0,23.0,23,Runaround,8.0,3276.133,2.0,0
1960Q3,Connie Francis,23.0,0,19.0,24,Jealous Of You (Tango Della Gelosia),8.0,3276.133,-1.0,0
1960Q3,Garry Miles,35.0,0,25.0,25,Look For A Star,4.0,3276.133,10.0,0
1960Q3,The Skyliners,29.0,0,26.0,26,Pennies From Heaven,10.0,3276.133,3.0,0
1960Q3,Don Costa And His Orchestra And Chorus,27.0,0,27.0,27,"Theme From ""The Unforgiven"" (The Need For Love)",11.0,3276.133,0.0,0
1960Q3,Bill Black's Combo,33.0,0,28.0,28,Josephine,3.0,3276.133,5.0,0
1960Q3,Tommy Edwards,18.0,0,18.0,29,I Really Don't Want To Know,8.0,3276.133,-11.0,0
1960Q3,Bobby Darin,19.0,0,19.0,30,Won't You Come Home Bill Bailey,8.0,3276.133,-11.0,0
1960Q3,Patti Page,34.0,0,31.0,31,One Of Us (Will Weep Tonight),6.0,3276.133,3.0,0
1960Q3,Deane Hawley,37.0,0,32.0,32,Look For A Star,4.0,3276.133,5.0,0
1960Q3,Bobby Marchan,46.0,0,33.0,33,There's Something On Your Mind (Part 2),5.0,3276.133,13.0,0
1960Q3,Donnie Brooks,79.0,0,34.0,34,Mission Bell,5.0,3276.133,45.0,0
1960Q3,Jimmy Jones,17.0,0,3.0,35,Good Timin',13.0,3276.133,-18.0,0
1960Q3,Annette With The Afterbeats,38.0,0,36.0,36,Train Of Love,6.0,3276.133,2.0,0
1960Q3,Jim Reeves,42.0,0,37.0,37,I'm Gettin' Better,4.0,3276.133,5.0,0
1960Q3,Bobby Rydell,21.0,0,5.0,38,Swingin' School,10.0,3276.133,-17.0,0
1960Q3,Ella Fitzgerald,28.0,0,27.0,39,Mack The Knife,11.0,3276.133,-11.0,0
1960Q3,Conway Twitty,50.0,0,40.0,40,Is A Blue Bird Blue,5.0,3276.133,10.0,0
1960Q3,Ricky Nelson,26.0,0,12.0,41,Young Emotions,12.0,3276.133,-15.0,0
1960Q3,Dinah Washington,75.0,0,42.0,42,This Bitter Earth,4.0,3276.133,33.0,0
1960Q3,Bobby Rydell,32.0,0,18.0,43,Ding-A-Ling,10.0,3276.133,-11.0,0
1960Q3,Jimmy Clanton,36.0,0,22.0,44,Another Sleepless Night,12.0,3276.133,-8.0,0
1960Q3,The Beau-Marks,49.0,0,45.0,45,Clap Your Hands,9.0,3276.133,4.0,0
1960Q3,Billy Vaughn And His Orchestra,56.0,0,46.0,46,Look For A Star,4.0,3276.133,10.0,0
